"";"mun";"year";"age_group";"pop";"FXET"
"257";"110018";2019;"From 10 to 14 years";2910;"03"
"258";"110018";2019;"From 15 to 19 years";3150;"04"
"259";"110018";2019;"From 20 to 24 years";3202;"05"
"260";"110018";2019;"From 25 to 29 years";3263;"06"
"261";"110018";2019;"From 30 to 34 years";3283;"07"
"262";"110018";2019;"From 35 to 39 years";3014;"08"
"263";"110018";2019;"From 40 to 44 years";2665;"09"
"264";"110018";2019;"From 45 to 49 years";2299;"10"
"265";"110018";2019;"From 5 to 9 years";2685;"02"
"266";"110018";2019;"From 50 to 54 years";2081;"11"
"267";"110018";2019;"From 55 to 59 years";1802;"12"
"268";"110018";2019;"From 60 to 64 years";1345;"13"
"269";"110018";2019;"From 65 to 69 years";913;"14"
"270";"110018";2019;"From 70 to 74 years";598;"15"
"271";"110018";2019;"From 75 to 79 years";397;"16"
"272";"110018";2019;"From 80 years or more";378;"17"
"273";"110020";2019;"From 0 to 4 years";40401;"01"
"274";"110020";2019;"From 10 to 14 years";42274;"03"
"275";"110020";2019;"From 15 to 19 years";47117;"04"
"276";"110020";2019;"From 20 to 24 years";49224;"05"
"277";"110020";2019;"From 25 to 29 years";49035;"06"
"278";"110020";2019;"From 30 to 34 years";51392;"07"
"279";"110020";2019;"From 35 to 39 years";46640;"08"
"280";"110020";2019;"From 40 to 44 years";39359;"09"
"281";"110020";2019;"From 45 to 49 years";32329;"10"
"282";"110020";2019;"From 5 to 9 years";39171;"02"
"283";"110020";2019;"From 50 to 54 years";28170;"11"
"284";"110020";2019;"From 55 to 59 years";23018;"12"
"285";"110020";2019;"From 60 to 64 years";16886;"13"
"286";"110020";2019;"From 65 to 69 years";10804;"14"
"287";"110020";2019;"From 70 to 74 years";6428;"15"
"288";"110020";2019;"From 75 to 79 years";3675;"16"
"289";"110020";2019;"From 80 years or more";3621;"17"
"290";"110025";2019;"From 0 to 4 years";1264;"01"
"291";"110025";2019;"From 10 to 14 years";1304;"03"
"292";"110025";2019;"From 15 to 19 years";1363;"04"
"293";"110025";2019;"From 20 to 24 years";1399;"05"
"294";"110025";2019;"From 25 to 29 years";1541;"06"
"295";"110025";2019;"From 30 to 34 years";1470;"07"
"296";"110025";2019;"From 35 to 39 years";1506;"08"
"297";"110025";2019;"From 40 to 44 years";1399;"09"
"298";"110025";2019;"From 45 to 49 years";1354;"10"
"299";"110025";2019;"From 5 to 9 years";1262;"02"
"300";"110025";2019;"From 50 to 54 years";1293;"11"
"301";"110025";2019;"From 55 to 59 years";1134;"12"
"302";"110025";2019;"From 60 to 64 years";904;"13"
"303";"110025";2019;"From 65 to 69 years";673;"14"
"304";"110025";2019;"From 70 to 74 years";466;"15"
"305";"110025";2019;"From 75 to 79 years";306;"16"
"306";"110025";2019;"From 80 years or more";348;"17"
"307";"110026";2019;"From 0 to 4 years";311;"01"
"308";"110026";2019;"From 10 to 14 years";274;"03"
"309";"110026";2019;"From 15 to 19 years";299;"04"
"310";"110026";2019;"From 20 to 24 years";311;"05"
"311";"110026";2019;"From 25 to 29 years";268;"06"
"312";"110026";2019;"From 30 to 34 years";259;"07"
"313";"110026";2019;"From 35 to 39 years";308;"08"
"314";"110026";2019;"From 40 to 44 years";290;"09"
"315";"110026";2019;"From 45 to 49 years";263;"10"
"316";"110026";2019;"From 5 to 9 years";291;"02"
"317";"110026";2019;"From 50 to 54 years";247;"11"
"318";"110026";2019;"From 55 to 59 years";219;"12"
"319";"110026";2019;"From 60 to 64 years";147;"13"
"320";"110026";2019;"From 65 to 69 years";107;"14"
"321";"110026";2019;"From 70 to 74 years";72;"15"
"322";"110026";2019;"From 75 to 79 years";48;"16"
"323";"110026";2019;"From 80 years or more";50;"17"
"324";"110028";2019;"From 0 to 4 years";3935;"01"
"325";"110028";2019;"From 10 to 14 years";4096;"03"
"326";"110028";2019;"From 15 to 19 years";4585;"04"
"327";"110028";2019;"From 20 to 24 years";4740;"05"
"328";"110028";2019;"From 25 to 29 years";4966;"06"
"329";"110028";2019;"From 30 to 34 years";4933;"07"
